怪我咯,Date,DecryptedData
199,2014-07-19,548
200,2014-07-20,562
201,2014-07-21,694
202,2014-07-22,724
203,2014-07-23,649
204,2014-07-24,662
205,2014-07-25,648
206,2014-07-26,610
207,2014-07-27,582
208,2014-07-28,601
209,2014-07-29,592
210,2014-07-30,544
211,2014-07-31,524
212,2014-08-01,564
213,2014-08-02,545
214,2014-08-03,587
215,2014-08-04,637
216,2014-08-05,572
217,2014-08-06,607
218,2014-08-07,538
219,2014-08-08,544
220,2014-08-09,517
221,2014-08-10,531
222,2014-08-11,573
223,2014-08-12,520
224,2014-08-13,556
225,2014-08-14,580
226,2014-08-15,507
227,2014-08-16,480
228,2014-08-17,495
229,2014-08-18,577
230,2014-08-19,564
231,2014-08-20,605
232,2014-08-21,604
233,2014-08-22,535
234,2014-08-23,515
235,2014-08-24,495
236,2014-08-25,541
237,2014-08-26,519
238,2014-08-27,557
239,2014-08-28,586
240,2014-08-29,573
241,2014-08-30,506
242,2014-08-31,478
243,2014-09-01,517
244,2014-09-02,462
245,2014-09-03,502
246,2014-09-04,587
247,2014-09-05,581
248,2014-09-06,639
249,2014-09-07,680
250,2014-09-08,681
251,2014-09-09,628
252,2014-09-10,555
253,2014-09-11,514
254,2014-09-12,566
255,2014-09-13,506
256,2014-09-14,581
257,2014-09-15,503
258,2014-09-16,496
259,2014-09-17,546
260,2014-09-18,576
261,2014-09-19,543
262,2014-09-20,661
263,2014-09-21,804
264,2014-09-22,716
265,2014-09-23,675
266,2014-09-24,633
267,2014-09-25,658
268,2014-09-26,705
269,2014-09-27,769
270,2014-09-28,679
271,2014-09-29,731
272,2014-09-30,741
273,2014-10-01,848
274,2014-10-02,877
275,2014-10-03,937
276,2014-10-04,1012
277,2014-10-05,925
278,2014-10-06,1010
279,2014-10-07,900
280,2014-10-08,735
281,2014-10-09,739
282,2014-10-10,727
283,2014-10-11,773
284,2014-10-12,752
285,2014-10-13,735
286,2014-10-14,683
287,2014-10-15,734
288,2014-10-16,771
289,2014-10-17,683
290,2014-10-18,732
291,2014-10-19,751
292,2014-10-20,791
293,2014-10-21,867
294,2014-10-22,739
295,2014-10-23,752
296,2014-10-24,774
297,2014-10-25,794
298,2014-10-26,839
299,2014-10-27,778
300,2014-10-28,767
301,2014-10-29,801
302,2014-10-30,733
303,2014-10-31,949
304,2014-11-01,1422
305,2014-11-02,1442
306,2014-11-03,1358
307,2014-11-04,1282
308,2014-11-05,1440
309,2014-11-06,1389
310,2014-11-07,1444
311,2014-11-08,1368
312,2014-11-09,1350
313,2014-11-10,1345
314,2014-11-11,1278
315,2014-11-12,1380
316,2014-11-13,1470
317,2014-11-14,1439
318,2014-11-15,1380
319,2014-11-16,1430
320,2014-11-17,1332
321,2014-11-18,1317
322,2014-11-19,1334
323,2014-11-20,1294
324,2014-11-21,1321
325,2014-11-22,1430
326,2014-11-23,1407
327,2014-11-24,1321
328,2014-11-25,1258
329,2014-11-26,1272
330,2014-11-27,1251
331,2014-11-28,1326
332,2014-11-29,1344
333,2014-11-30,1367
334,2014-12-01,1319
335,2014-12-02,1267
336,2014-12-03,1299
337,2014-12-04,1254
338,2014-12-05,1164
339,2014-12-06,1234
340,2014-12-07,1232
341,2014-12-08,1280
342,2014-12-09,1702
343,2014-12-10,1707
344,2014-12-11,1414
345,2014-12-12,1326
346,2014-12-13,1298
347,2014-12-14,1332
348,2014-12-15,1375
349,2014-12-16,1362
350,2014-12-17,1330
351,2014-12-18,1375
352,2014-12-19,1356
353,2014-12-20,1264
354,2014-12-21,1324
355,2014-12-22,1248
356,2014-12-23,1141
357,2014-12-24,1104
358,2014-12-25,1123
359,2014-12-26,1104
360,2014-12-27,1139
361,2014-12-28,1156
362,2014-12-29,1081
363,2014-12-30,1108
364,2014-12-31,1070
